brand,part_number,EQUIVALENT_TO
JABSCO,1210-0001,CEF 500107
JOHNSON,09-1027B,CEF 500107
JOHNSON,09-1027B-1,CEF 500107
JMP,7100-01,CEF 500107
VOLVO PENTA,860203,CEF 500107
VOLVO PENTA,21213660,CEF 500107
VOLVO PENTA,3858256,CEF 500107
VOLVO PENTA,825940,CEF 500107
VOLVO PENTA,3855546,CEF 500107
VOLVO PENTA,3862281,CEF 500107
VOLVO PENTA,876243,CEF 500107
VOLVO PENTA,3862567,CEF 500107
VOLVO PENTA,3856039,CEF 500107
VOLVO PENTA,877400,CEF 500107
OMC,3588256 / 3858256*,CEF 500107
ONAN,132-0162,CEF 500107
ONAN,08-21-1201,CEF 500107
PERKINS,0460038,CEF 500107
SIERRA,18-3081 (SIE-18-3081),CEF 500107
GLM,89540,CEF 500107
MALLORY,9-45703,CEF 500107
YANMAR,129470-42530,CEF 500107
